item_name,Item_id,price
sugar,1,2
lettuce,2,1
pet items,3,2
baby items,4,4
waffles,5,2
poultry,6,4
sandwich bags,7,3
butter,8,3
soda,9,1
carrots,10,1
cereals,11,3
shampoo,12,3
bagels,13,2
eggs,14,2
aluminum foil,15,4
milk,16,3
beef,17,4
laundry detergent,18,7
shaving cream,19,2
grapefruit,20,2
cheeses,21,2
frozen vegetables,22,1
tea,23,3
paper towels,24,2
cherries,25,3
spaghetti sauce,26,2
dishwashing,27,6
canned vegetables,28,1
hand soap,29,3
flour,30,2
pasta,31,1
apples,32,2
toilet paper,33,2
tortillas,34,2
soap,35,3
ice cream,36,3
dinner rolls,37,2
juice,38,3
sandwich loaves,39,2
berries,40,3
ketchup,41,1
cucumbers,42,1
coffee,43,5
broccoli,44,1
cauliflower,45,1
bananas,46,1
pork,47,4
yogurt,48,1